שם  הרשות,כתובת הקלפי,מקום קלפי,הוראות גישה לקלפי,קלפי נגישה,כתובת מלאה
נהריה,הר תבור 1,מידעטק 2000,אולם כניסה,כן,"נהריה, הר תבור 1"
נתיבות,בדולח 1,מרכז נוער נחמה,,כן,"נתיבות, בדולח 1"
נתניה,דב הוז 3,מרכז הקהילתי מזרחי,"קומת כניסה, חדר ממ""ד",כן,"נתניה, דב הוז 3"
נתניה,הנרייטה סולד 2,מרכז קהילתי נאות שקד(גרינבאום 16 נתניה-חניון רכבים),,,"נתניה, הנרייטה סולד 2"
נתניה,נחום 35,"מתנ""ס דורה",,כן,"נתניה, נחום 35"
עפולה,שדרות יצחק רבין 3,מרכז יום לקשיש דור לדור,חדר פעילות קטן - קומת כניסה,כן,"עפולה, שדרות יצחק רבין 3"
פתח תקווה,הפורצים 18,"מתנ""ס רמת ורבר",,כן,"פתח תקווה, הפורצים 18"
צפת,בת הרים 1,בית ספר ממלכתי ב (חדר יצירה - קומת כניסה),כניסה עם רכב משער החירום ועד לכניסה     האחורית,כן,"צפת, בת הרים 1"
קריית גת,שדרות לכיש 12,"מתנ""ס בית רחל - סמוך להיכל תרבות אדית",,כן,"קריית גת, שדרות לכיש 12"
קרית אתא,"פלמ""ח 11",מתנס רח' פלמח 11-אולם מחשבים,,כן,"קרית אתא, פלמ""ח 11"
ראש פינה,מעלה גיא אוני,מתנס - מעלה גיא אוני,כיתת לימוד בקומת כניסה,כן,"ראש פינה, מעלה גיא אוני"
רחובות,החלוץ 5,מרכז יום,,כן,"רחובות, החלוץ 5"
רמת גן,ביאליק 42,בית האזרח,,כן,"רמת גן, ביאליק 42"
רעננה,קרן היסוד 75,המכללה העירונית (הבית הכחול),,כן,"רעננה, קרן היסוד 75"
תל אביב -יפו,אליעזר פרי 14,תחנת תברואה כיכר אתרים,,,"תל אביב -יפו, אליעזר פרי 14"
תל אביב -יפו,בית שמאי 7,מרכז שכונתי מונטי,,,"תל אביב -יפו, בית שמאי 7"
תל אביב -יפו,רציף הרברט סמואל 3,המרכז הקהילתי לספורט ימי,,,"תל אביב -יפו, רציף הרברט סמואל 3"
תל אביב -יפו,אלוף אלברט מנדלר 8,מרכז שרונה,,,"תל אביב -יפו, אלוף אלברט מנדלר 8"
תל אביב -יפו,התקומה 1,מרכז תרבות מנדל,,,"תל אביב -יפו, התקומה 1"
