שם  הרשות,כתובת הקלפי,מקום קלפי,הוראות גישה לקלפי,קלפי נגישה,כתובת מלאה,latitude,longitude
"מוא""ז עמק יזרעאל",מועצה אזורית עמק יזרעאל ,חדר ישיבות חינוך (משרדי המועצה),קומת כניסה,כן,"מוא""ז עמק יזרעאל, מועצה אזורית עמק יזרעאל ",,
"מוא""ז רמת נגב",מועצה אזורית רמת הנגב,מועדון לגיל הזהב מועצה אזורית רמת נגב,,כן,"מוא""ז רמת נגב, מועצה אזורית רמת הנגב",,
מודיעין מכבים רעות,עמק דותן 49,המרכז הרב תחומי בניין ב,,,"מודיעין מכבים רעות, עמק דותן 49",31.8991635,35.0148195
מצפה רמון,שדרות דוד בן גוריון 12 ,מרכז תרבות חדר ישיבות,,כן,"מצפה רמון, שדרות דוד בן גוריון 12 ",30.60923257234137,34.79535391864551
נהריה,הר תבור 1,מידעטק 2000,אולם כניסה,כן,"נהריה, הר תבור 1",33.013625030268926,35.10300503314567
נתיבות,בדולח 1,מרכז נוער נחמה,,כן,"נתיבות, בדולח 1",31.419643596107527,34.57103212020015
נתניה,דב הוז 3,מרכז הקהילתי מזרחי,"קומת כניסה, חדר ממ""ד",כן,"נתניה, דב הוז 3",32.3368773,34.8670827
נתניה,הנרייטה סולד 2,מרכז קהילתי נאות שקד(גרינבאום 16 נתניה-חניון רכבים),,,"נתניה, הנרייטה סולד 2",,
נתניה,נחום 35,"מתנ""ס דורה",,כן,"נתניה, נחום 35",32.3417645,34.8645444
עפולה,שדרות יצחק רבין 3,מרכז יום לקשיש דור לדור,חדר פעילות קטן - קומת כניסה,כן,"עפולה, שדרות יצחק רבין 3",32.61780573087255,35.30487853771621
פתח תקווה,הפורצים 18,"מתנ""ס רמת ורבר",,כן,"פתח תקווה, הפורצים 18",32.0880662676397,34.87686617281993
צפת,בת הרים 1,בית ספר ממלכתי ב (חדר יצירה - קומת כניסה),כניסה עם רכב משער החירום ועד לכניסה     האחורית,כן,"צפת, בת הרים 1",32.963720196609096,35.51365712910525
קריית גת,שדרות לכיש 12,"מתנ""ס בית רחל - סמוך להיכל תרבות אדית",,כן,"קריית גת, שדרות לכיש 12",,
קרית אתא,"פלמ""ח 11",מתנס רח' פלמח 11-אולם מחשבים,,כן,"קרית אתא, פלמ""ח 11",,
ראש פינה,מעלה גיא אוני,מתנס - מעלה גיא אוני,כיתת לימוד בקומת כניסה,כן,"ראש פינה, מעלה גיא אוני",32.96907063793226,35.54370363371617
רחובות,החלוץ 5,מרכז יום,,כן,"רחובות, החלוץ 5",31.8970859,34.8136419
רמת גן,ביאליק 42,בית האזרח,,כן,"רמת גן, ביאליק 42",32.0831785,34.8147007
רעננה,קרן היסוד 75,המכללה העירונית (הבית הכחול),,כן,"רעננה, קרן היסוד 75",32.18962996021714,34.873098307914326
תל אביב -יפו,אליעזר פרי 14,תחנת תברואה כיכר אתרים,,,"תל אביב -יפו, אליעזר פרי 14",32.08724618287098,34.77055146020333
תל אביב -יפו,בית שמאי 7,מרכז שכונתי מונטי,,,"תל אביב -יפו, בית שמאי 7",32.069427,34.788771
תל אביב -יפו,רציף הרברט סמואל 3,המרכז הקהילתי לספורט ימי,,,"תל אביב -יפו, רציף הרברט סמואל 3",,
תל אביב -יפו,אלוף אלברט מנדלר 8,מרכז שרונה,,,"תל אביב -יפו, אלוף אלברט מנדלר 8",32.072611,34.787006
תל אביב -יפו,התקומה 1,מרכז תרבות מנדל,,,"תל אביב -יפו, התקומה 1",32.05126,34.759937
